"country","avg_sentiment","hashtag"
"Senegal",-0.0228140298776955,"#Trump"
"Serbia",-0.0298540506960464,"#Trump"
"Seychelles",0.0267838780281266,"#Trump"
"Sierra Leone",0.00712699045075111,"#Trump"
"Singapore",-0.0309286869950897,"#Trump"
"Slovakia",-0.066313417105458,"#Trump"
"Slovenia",-0.0572064387522463,"#Trump"
"Somalia",-0.00829867002978547,"#Trump"
"South Africa",-0.000321710575793047,"#Trump"
"South Korea",-0.0222625272974896,"#Trump"
"South Sudan",0.1538523849078,"#Trump"
"Spain",-0.0268211320803529,"#Trump"
"Sri Lanka",0.0289362753811868,"#Trump"
"Sudan",-0.013347757031277,"#Trump"
"Suriname",-0.0999742033906533,"#Trump"
"Sweden",-0.0697271871400381,"#Trump"
"Switzerland",-0.042585545820011,"#Trump"
"Syria",-0.0751322114605331,"#Trump"
"Taiwan",-0.00452440820517232,"#Trump"
"Tajikistan",-0.00685005881152639,"#Trump"
"Tanzania",-0.00946745302860356,"#Trump"
"Thailand",-0.0256710059670155,"#Trump"
"The Bahamas",-0.0179226720931248,"#Trump"
"The Gambia",-0.00232091720483162,"#Trump"
"The Netherlands",-0.0371483072457841,"#Trump"
"Tonga",-0.077572170009433,"#Trump"
"Trinidad and Tobago",-0.0612500842827275,"#Trump"
"Tunisia",-0.0178768572738196,"#Trump"
"Turkey",-0.0209350836826558,"#Trump"
"Turks and Caicos Islands",0.0357602332275888,"#Trump"
"Uganda",-0.00413483707590102,"#Trump"
"Ukraine",-0.00554743404484647,"#Trump"
"United Arab Emirates",0.0206241073983567,"#Trump"
"United Kingdom",-0.0256072334073228,"#Trump"
"United States",-0.0364372605994377,"#Trump"
"United States of America",-0.036154111225084,"#Trump"
"Uruguay",-0.0262647767350908,"#Trump"
"Uzbekistan",0.0641891478826713,"#Trump"
"Vanuatu",-0.295710678118655,"#Trump"
"Vatican City",-0.00500650074939568,"#Trump"
"Venezuela",-0.0248881689142671,"#Trump"
"Vietnam",-0.0325202614638915,"#Trump"
"Yemen",-0.0584007856533768,"#Trump"
"Zambia",-0.0220806542855167,"#Trump"
"Zimbabwe",0.0109477624233044,"#Trump"
